addr,code,color,inventory,lat,lng,name,openTime,price,regDt,tel
경기 광명시 오리로 608 (소하동),A0000004,GREEN,1700,37.45620108,126.88040650,(주)지에스이앤알 직영 하안단지주유소,,2000,2021-12-28 10:23:15,02-899-5202
경기 용인시 기흥구 흥덕중앙로 92,A0000012,GREEN,3228,37.27596709,127.07715021,(주)지에스이앤알 흥덕주유소,,2000,2021-12-28 06:06:12,031-215-8053
충남 부여군 내산면 서천공주고속도로 26,A0000052,GRAY,0,36.25806400,126.80020290,부여백제(공주)주유/충전소,,1500,2021-12-28 11:11:38,041-833-8300
충남 공주시 당진영덕고속도로 72-1,A0000053,YELLOW,791,36.49738020,127.16843750,공주(대전)휴게소 주유소,,1000,2021-12-28 09:01:09,041-854-9728
충남 공주시 의당면 당진영덕고속도로 69,A0000054,YELLOW,762,36.49857900,127.16504650,공주(당진)휴게소주유소/충전소,,1000,2021-12-28 13:56:33,041-854-9504
전북 진안군 진안읍 익산장수고속도로 42-1,A0000057,GREEN,1700,35.77484850,127.42659320,한화리조트(주)진안(하)주유소,,1500,2021-12-28 01:45:01,063-432-6353
경기 안양시 만안구 엘에스로 237 (안양동),A0000215,GREEN,1610,37.37971470,126.93879300,마하주유소,,2400,2021-12-28 08:33:03,031-444-5175
충북 음성군 원남면 충청대로 60,A0000256,YELLOW,550,36.83901060,127.61747970,문암주유소,,2000,2021-12-28 14:54:04,043-872-8951
경기 용인시 처인구 이동면 어진로 637,A0000269,GREEN,1000,37.10786880,127.17837700,남사IC주유소,,1500,2021-12-28 10:32:10,031-336-5145
인천 남동구 논현고잔로 156 (고잔동),A0000572,YELLOW,928,37.39648040,126.71554210,현대오일뱅크 고잔주유소,,2000,2021-12-28 09:10:21,032-446-4000
부산 동구 충장대로 305 (좌천동),A0000646,GREEN,1043,35.12650130,129.05380590,CJ대한통운㈜ 부산주유소,,1500,2021-12-28 10:11:17,051-719-5143
